Breed,Image_File_Path,Image_Exists,Label,Set
Pug,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_409.jpg,True,2,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_60.jpg,True,3,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_55.jpg,True,3,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_455.jpg,True,3,train
Golden Retriever,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Golden_Retriever\image_431.jpg,True,1,train
Dalmatian,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Dalmatian\image_269.jpg,True,0,train
Pug,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_348.jpg,True,2,train
Pug,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_343.jpg,True,2,train
Dalmatian,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Dalmatian\image_10.jpg,True,0,train
Dalmatian,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Dalmatian\image_366.jpg,True,0,train
Pug,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_258.jpg,True,2,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_165.jpg,True,3,train
Pug,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_87.jpg,True,2,train
Pug,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_141.jpg,True,2,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_276.jpg,True,3,train
Pug,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_437.jpg,True,2,train
Pug,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_70.jpg,True,2,train
Dalmatian,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Dalmatian\image_126.jpg,True,0,train
Pug,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_96.jpg,True,2,train
Dalmatian,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Dalmatian\image_410.jpg,True,0,train
Pug,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_277.jpg,True,2,train
Dalmatian,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Dalmatian\image_69.jpg,True,0,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_113.jpg,True,3,train
Dalmatian,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Dalmatian\image_411.jpg,True,0,train
Golden Retriever,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Golden_Retriever\image_208.jpg,True,1,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_49.jpg,True,3,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_219.jpg,True,3,train
Golden Retriever,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Golden_Retriever\image_184.jpg,True,1,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_240.jpg,True,3,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_300.jpg,True,3,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_17.jpg,True,3,train
Golden Retriever,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Golden_Retriever\image_298.jpg,True,1,train
Pug,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_374.jpg,True,2,train
Pug,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Pug\image_485.jpg,True,2,train
Golden Retriever,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Golden_Retriever\image_326.jpg,True,1,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_371.jpg,True,3,train
Dalmatian,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Dalmatian\image_108.jpg,True,0,train
Golden Retriever,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Golden_Retriever\image_143.jpg,True,1,train
Rottweiler,D:\university\sem 8\Data\Final Project\Project_P2_810100207_810100247_810102480\database\pinterest_dogs\Rottweiler\image_80.jpg,True,3,train
